19RS609,"19 Ring Plastic Comb Binding - 3/4"" - Gray",6,5.99,2017-01-13 18:44:52,8.79
19RS610,"19 Ring Plastic Comb Binding - 3/4"" - Gray",15,6.99,2017-01-10 20:33:51,\N
19RS611,"19 Ring Plastic Comb Binding - 3/4"" - Gray",1,8.3,2017-01-10 20:33:51,\N
19RS612,"19 Ring Plastic Comb Binding - 3/4"" - Gray",4,5.17,2017-01-10 20:33:51,\N
19RS613,"19 Ring Plastic Comb Binding - 3/4"" - Gray",4,11.45,2017-01-10 20:33:51,\N
19RS614,"19 Ring Plastic Comb Binding - 3/4"" - Gray",4,12.15,2017-01-10 20:33:51,\N
19RS615,"19 Ring Plastic Comb Binding - 3/4"" - Gray",7,5.08,2017-01-10 20:33:51,\N
19RS616,"19 Ring Plastic Comb Binding - 3/4"" - Gray",1,14.5,2017-01-10 20:33:51,\N
19RS702,"19 Ring Plastic Comb Binding - 1/4"" - Forest Green",8,1.64,2017-02-15 22:30:57,2.67
19RS703,"19 Ring Plastic Comb Binding - 5/16"" - Forest Green",18,1.96,2017-03-13 21:44:56,3.25
19RS704,"19 Ring Plastic Comb Binding - 3/8"" - Forest Green",13,2.24,2017-01-31 16:50:29,3.73
19RS705,"19 Ring Plastic Comb Binding - 7/16"" - Forest Green",3,2.99,2017-01-13 18:44:52,4.18
19RS706,"19 Ring Plastic Comb Binding - 1/2"" - Forest Green",2,3.16,2017-01-13 18:44:52,4.97
19RS707,"19 Ring Plastic Comb Binding - 9/16"" - Forest Green",2,3.95,2017-01-13 18:44:52,6.12
19RS709,"19 Ring Plastic Comb Binding - 3/4"" - Forest Green",5,5.85,2017-01-13 18:44:52,8.79
19RS710,"19 Ring Plastic Comb Binding - 7/8"" - Forest Green",2,7.15,2017-01-13 18:44:52,10.19
19RS711,"19 Ring Plastic Comb Binding - 1"" - Forest Green",6,8.69,2017-01-13 18:44:52,12.39
19RS712,"19 Ring Plastic Comb Binding - 1-1/8"" - Forest Green",11,9.09,2017-01-13 18:44:52,15.59
