[24-Feb-2017 16:30:59 UTC] PHP Fatal error:  Call to undefined function App\Http\Controllers\update() in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 122
[27-Feb-2017 18:01:58 UTC] PHP Parse error:  syntax error, unexpected '$ponum' (T_VARIABLE) in /home/ubuntu/workspace/newmas/app/Http/Controllers/StockController.php on line 145
[27-Feb-2017 19:08:13 UTC] PHP Parse error:  syntax error, unexpected '$count' (T_VARIABLE) in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 48
[27-Feb-2017 19:12:45 UTC] PHP Parse error:  syntax error, unexpected ',' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 47
[27-Feb-2017 19:12:55 UTC] PHP Parse error:  syntax error, unexpected ''<br>'' (T_CONSTANT_ENCAPSED_STRING) in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 48
[27-Feb-2017 22:31:50 UTC] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ')' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 48
[27-Feb-2017 22:40:36 UTC] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 62
[27-Feb-2017 22:41:26 UTC] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 60
[27-Feb-2017 22:42:29 UTC] PHP Fatal error:  Call to undefined function App\Http\Controllers\input() in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 50
[27-Feb-2017 22:43:07 UTC] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 62
[27-Feb-2017 22:43:31 UTC] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 62
[27-Feb-2017 22:45:22 UTC] PHP Fatal error:  Call to undefined function App\Http\Controllers\input() in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 50
[27-Feb-2017 22:48:13 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Input' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 50
[27-Feb-2017 22:48:21 UTC] PHP Fatal error:  Class 'Input' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 50
[27-Feb-2017 23:20:04 UTC] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 68
[27-Feb-2017 23:20:35 UTC] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ProductController.php on line 68
[28-Feb-2017 22:01:21 UTC] PHP Notice:  Undefined variable: post_string in /home/ubuntu/workspace/newmas/public/testimport.php on line 22
[03-May-2017 18:13:02 UTC] PHP Parse error:  syntax error, unexpected ')' in /home/ubuntu/workspace/newmas/storage/framework/views/85ea733f9248134eb7b7e85880451b0fb2504f32.php on line 32
[04-May-2017 15:04:18 UTC] PHP Parse error:  syntax error, unexpected '{' in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 170
[25-May-2017 21:23:26 UTC] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/newmas/storage/framework/views/a246b94e2a5bf4c07ffcb210e95bac303130acb8.php on line 28
[10-Jul-2017 21:58:58 UTC] PHP Parse error:  syntax error, unexpected ']' in /home/ubuntu/workspace/newmas/storage/framework/views/a246b94e2a5bf4c07ffcb210e95bac303130acb8.php on line 60
[10-Jul-2017 21:59:10 UTC] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in /home/ubuntu/workspace/newmas/storage/framework/views/a246b94e2a5bf4c07ffcb210e95bac303130acb8.php on line 60
[11-Jul-2017 20:02:45 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 232
[11-Jul-2017 20:02:50 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 232
[11-Jul-2017 20:03:11 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 250
[11-Jul-2017 20:04:37 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 250
[11-Jul-2017 20:07:46 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 253
[11-Jul-2017 20:08:44 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 253
[11-Jul-2017 20:08:54 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 249
[11-Jul-2017 20:08:56 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 249
[11-Jul-2017 20:09:30 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 249
[11-Jul-2017 20:09:57 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 248
[11-Jul-2017 20:10:43 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 246
[20-Jul-2017 20:35:08 UTC] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/newmas/app/Http/Controllers/StockController.php on line 242
[27-Jul-2017 20:09:21 UTC] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/newmas/storage/framework/views/e9a728f62dcccf7117319fe472876d9873d6702e.php on line 64
[27-Jul-2017 20:10:27 UTC] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/newmas/storage/framework/views/e9a728f62dcccf7117319fe472876d9873d6702e.php on line 67
[27-Jul-2017 20:10:36 UTC] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/newmas/storage/framework/views/e9a728f62dcccf7117319fe472876d9873d6702e.php on line 67
[27-Jul-2017 20:10:39 UTC] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/newmas/storage/framework/views/e9a728f62dcccf7117319fe472876d9873d6702e.php on line 67
[20-Dec-2017 15:49:14 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Auth' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 190
