19RS108,5/8'' White 19 Ring Plastic Co,Spiral Binding Co,13058WHIT,4.92,*
19RS109,3/4'' White 19 Ring Plastic Co,AKILES PRODUCTS INC,EP304WH,5.39,
19RS109,3/4'' White 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,5.51,
19RS109,3/4'' White 19 Ring Plastic Co,Spiral Binding Co,13034WHIT,5.92,*
19RS110,7/8'' White 19 Ring Plastic Co,AKILES PRODUCTS INC,EP708WH,6.2,
19RS110,7/8'' White 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,7.03,
19RS110,7/8'' White 19 Ring Plastic Co,Spiral Binding Co,13078WHIT,7.15,*
19RS111,1'' White 19 Ring Plastic Comb,AKILES PRODUCTS INC,EP100WH,8.22,
19RS111,1'' White 19 Ring Plastic Comb,SOUTHWEST PLASTIC BINDING,,9.37,
19RS111,1'' White 19 Ring Plastic Comb,Spiral Binding Co,13100WHIT,9.02,*
19RS112,1-1/8'' White 19 Ring Plastic,AKILES PRODUCTS INC,EP118WH,9.42,
19RS112,1-1/8'' White 19 Ring Plastic,SOUTHWEST PLASTIC BINDING,,10.96,
19RS112,1-1/8'' White 19 Ring Plastic,Spiral Binding Co,13118WHIT,10.8,*
19RS113,1-1/4'' White 19 Ring Plastic,AKILES PRODUCTS INC,EP114WH,9.84,
19RS113,1-1/4'' White 19 Ring Plastic,SOUTHWEST PLASTIC BINDING,,10.27,
19RS113,1-1/4'' White 19 Ring Plastic,Spiral Binding Co,13114WHIT,11.5,*
19RS114,1-1/2'' White 19 Ring Plastic,AKILES PRODUCTS INC,EP112WH,11.56,
19RS114,1-1/2'' White 19 Ring Plastic,SOUTHWEST PLASTIC BINDING,,11.59,
19RS114,1-1/2'' White 19 Ring Plastic,Spiral Binding Co,13112WHIT,12.91,*
19RS115,1-3/4'' White 19 Ring Plastic,AKILES PRODUCTS INC,EP134WH,6.37,
19RS115,1-3/4'' White 19 Ring Plastic,SOUTHWEST PLASTIC BINDING,,6.53,
19RS115,1-3/4'' White 19 Ring Plastic,Spiral Binding Co,13134WHIT,7.11,*
19RS116,2'' White 19 Ring Plastic Comb,AKILES PRODUCTS INC,EP200WH,6.82,
19RS116,2'' White 19 Ring Plastic Comb,Spiral Binding Co,13200WHIT,7.52,*
19RS202,1/4'' Blue 19 Ring Plastic Com,SOUTHWEST PLASTIC BINDING,,1.51,
19RS202,1/4'' Blue 19 Ring Plastic Com,Spiral Binding Co,13014BLUE,1.92,*
19RS203,5/16'' Blue 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,1.83,
19RS203,5/16'' Blue 19 Ring Plastic Co,Spiral Binding Co,13516BLUE,2.15,*
19RS203,5/16'' Blue 19 Ring Plastic Co,TAMERICA PRODUCTS INC.,19RS203,1.96,
19RS204,3/8'' Blue 19 Ring Plastic Com,SOUTHWEST PLASTIC BINDING,,2.14,
19RS204,3/8'' Blue 19 Ring Plastic Com,Spiral Binding Co,13038BLUE,2.32,*
19RS205,7/16'' Blue 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,2.73,
19RS205,7/16'' Blue 19 Ring Plastic Co,Spiral Binding Co,13716BLUE,2.99,*
19RS206,1/2'' Blue 19 Ring Plastic Com,SOUTHWEST PLASTIC BINDING,,3.17,
19RS206,1/2'' Blue 19 Ring Plastic Com,Spiral Binding Co,13012BLUE,3.18,*
19RS207,9/16'' Blue 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,3.75,
19RS207,9/16'' Blue 19 Ring Plastic Co,Spiral Binding Co,13916BLUE,3.95,*
19RS208,5/8'' Blue 19 Ring Plastic Com,SOUTHWEST PLASTIC BINDING,,4.38,
19RS208,5/8'' Blue 19 Ring Plastic Com,Spiral Binding Co,13058BLUE,4.92,*
19RS209,3/4'' Blue 19 Ring Plastic Com,SOUTHWEST PLASTIC BINDING,,5.51,
19RS209,3/4'' Blue 19 Ring Plastic Com,Spiral Binding Co,13034BLUE,5.92,*
19RS210,7/8'' Blue 19 Ring Plastic Com,SOUTHWEST PLASTIC BINDING,,7.03,
19RS210,7/8'' Blue 19 Ring Plastic Com,Spiral Binding Co,13078BLUE,7.15,*
19RS211,1'' Blue 19 Ring Plastic Comb,SOUTHWEST PLASTIC BINDING,,9.37,
19RS211,1'' Blue 19 Ring Plastic Comb,Spiral Binding Co,13100BLUE,9.02,*
